Date,GPR,GPR_percentile,GPR_regime
1988-04,119.45051574707033,78.55711422845691,HIGH
1988-05,104.87347412109376,66.93386773547094,MODERATE
1988-06,79.70812225341797,24.849699398797597,LOW
1988-07,83.43048095703125,32.46492985971944,LOW
1988-08,84.05416107177734,34.06813627254509,LOW
1988-09,74.84265899658203,17.234468937875754,LOW
1988-10,73.45023345947266,15.6312625250501,LOW
1988-11,68.79841613769531,11.623246492985972,LOW
1988-12,90.39871978759766,45.49098196392786,LOW
1989-01,89.24658966064453,43.28657314629259,LOW
1989-02,91.6185531616211,47.895791583166336,LOW
1989-03,87.73377227783203,40.08016032064128,LOW
1989-04,83.57909393310547,33.46693386773547,LOW
1989-05,103.82850646972656,64.92985971943888,MODERATE
1989-06,89.46155548095703,43.48697394789579,LOW
1989-07,84.75310516357422,34.66933867735471,LOW
1989-08,109.1772918701172,70.54108216432866,MODERATE
1989-09,85.54584503173828,36.27254509018036,LOW
1989-10,69.52467346191406,12.625250501002004,LOW
1989-11,92.8287124633789,49.899799599198396,LOW
1989-12,112.55352783203124,73.54709418837676,MODERATE
1990-01,81.5440444946289,27.855711422845694,LOW
1990-02,77.40721130371094,20.64128256513026,LOW
1990-03,67.5919418334961,10.62124248496994,LOW
1990-04,81.64384460449219,28.256513026052104,LOW
1990-05,86.40711975097656,37.875751503006015,LOW
1990-06,79.68110656738281,24.649298597194388,LOW
1990-07,85.78742980957031,36.87374749498998,LOW
1990-08,250.4510803222656,97.99599198396794,EXTREME
1990-09,188.66053771972656,96.19238476953907,EXTREME
1990-10,143.85256958007812,89.37875751503006,HIGH
1990-11,158.74354553222656,93.18637274549098,EXTREME
1990-12,153.1624298095703,92.18436873747495,EXTREME
1991-01,379.2497863769531,99.5991983967936,EXTREME
1991-02,339.3580322265625,99.19839679358718,EXTREME
1991-03,148.61831665039062,90.78156312625251,EXTREME
1991-04,97.760009765625,57.11422845691383,MODERATE
1991-05,88.56902313232422,41.88376753507014,LOW
1991-06,87.73383331298828,40.28056112224449,LOW
1991-07,115.18467712402344,75.95190380761524,HIGH
1991-08,113.49502563476562,75.1503006012024,HIGH
1991-09,117.94219207763672,77.75551102204409,HIGH
1991-10,100.8318099975586,61.322645290581164,MODERATE
1991-11,100.7423324584961,61.122244488977955,MODERATE
1991-12,103.96953582763672,65.3306613226453,MODERATE
1992-01,102.95763397216795,63.72745490981964,MODERATE
1992-02,87.2034683227539,39.278557114228455,LOW
1992-03,85.29731750488281,35.47094188376754,LOW
1992-04,85.85562133789062,37.07414829659319,LOW
1992-05,78.96814727783203,22.645290581162325,LOW
1992-06,93.84909057617188,51.30260521042084,MODERATE
1992-07,75.19676971435547,18.03607214428858,LOW
1992-08,81.64519500732422,28.45691382765531,LOW
1992-09,74.6097183227539,16.83366733466934,LOW
1992-10,68.18277740478516,11.22244488977956,LOW
1992-11,91.00899505615234,47.09418837675351,LOW
1992-12,83.42096710205078,32.06412825651303,LOW
1993-01,128.91807556152344,82.36472945891784,HIGH
1993-02,90.4680633544922,45.89178356713427,LOW
1993-03,94.24144744873048,51.703406813627254,MODERATE
1993-04,112.72166442871094,73.74749498997996,MODERATE
1993-05,110.72975158691406,72.14428857715431,MODERATE
1993-06,104.19525146484376,65.53106212424849,MODERATE
1993-07,123.31478881835938,80.96192384769539,HIGH
1993-08,97.2416763305664,56.91382765531062,MODERATE
1993-09,89.16477966308594,43.08617234468938,LOW
1993-10,106.16590881347656,68.13627254509018,MODERATE
1993-11,83.48017883300781,33.06613226452906,LOW
1993-12,79.55179595947266,24.248496993987978,LOW
1994-01,83.48997497558594,33.26653306613227,LOW
1994-02,117.2420654296875,77.35470941883767,HIGH
1994-03,93.47403717041016,50.90180360721443,MODERATE
1994-04,95.35697174072266,53.90781563126253,MODERATE
1994-05,104.46678924560548,66.33266533066133,MODERATE
1994-06,120.35224151611328,79.55911823647295,HIGH
1994-07,99.6402359008789,60.320641282565134,MODERATE
1994-08,98.2270278930664,58.11623246492986,MODERATE
1994-09,98.8984832763672,59.91983967935872,MODERATE
1994-10,94.85363006591795,53.1062124248497,MODERATE
1994-11,86.5298080444336,38.276553106212425,LOW
1994-12,96.04750061035156,54.50901803607215,MODERATE
1995-01,80.15467834472656,25.050100200400802,LOW
1995-02,76.87532806396484,20.440881763527056,LOW
1995-03,82.24444580078125,29.458917835671343,LOW
1995-04,99.19087982177734,60.120240480961925,MODERATE
1995-05,87.842529296875,40.480961923847694,LOW
1995-06,104.60775756835938,66.73346693386773,MODERATE
1995-07,107.64541625976562,69.73947895791584,MODERATE
1995-08,106.93478393554688,69.33867735470942,MODERATE
1995-09,71.20516967773438,13.627254509018037,LOW
1995-10,67.74150085449219,10.821643286573147,LOW
1995-11,76.33349609375,19.639278557114228,LOW
1995-12,65.67205810546875,9.819639278557114,LOW
1996-01,75.63492584228516,18.236472945891784,LOW
1996-02,80.4209213256836,25.65130260521042,LOW
1996-03,82.14761352539062,29.258517034068138,LOW
1996-04,84.82862091064453,34.86973947895792,LOW
1996-05,65.53082275390625,9.619238476953909,LOW
1996-06,69.08858489990234,12.024048096192384,LOW
1996-07,80.64431762695312,25.851703406813627,LOW
1996-08,81.6876449584961,28.857715430861724,LOW
1996-09,88.19697570800781,41.08216432865731,LOW
1996-10,55.58683013916016,4.809619238476954,LOW
1996-11,57.34461212158203,5.210420841683367,LOW
1996-12,74.98263549804688,17.635270541082164,LOW
1997-01,54.06243515014648,4.208416833667335,LOW
1997-02,50.559940338134766,2.6052104208416833,LOW
1997-03,58.48006057739258,6.012024048096192,LOW
1997-04,62.844486236572266,7.414829659318637,LOW
1997-05,53.57601547241211,3.807615230460922,LOW
1997-06,39.04562377929688,0.20040080160320642,LOW
1997-07,47.69842529296875,1.6032064128256514,LOW
1997-08,48.582298278808594,1.8036072144288577,LOW
1997-09,42.6890869140625,0.40080160320641284,LOW
1997-10,49.74630737304688,2.2044088176352705,LOW
1997-11,59.6933708190918,6.212424849699399,LOW
1997-12,43.998268127441406,0.6012024048096193,LOW
1998-01,53.0963020324707,3.6072144288577155,LOW
1998-02,77.59761810302734,21.042084168336675,LOW
1998-03,57.24806213378906,5.01002004008016,LOW
1998-04,50.99658203125,3.006012024048096,LOW
1998-05,94.4734878540039,51.90380761523046,MODERATE
1998-06,76.30907440185547,19.438877755511022,LOW
1998-07,54.04841613769531,4.008016032064129,LOW
1998-08,97.02085876464844,56.51302605210421,MODERATE
1998-09,62.51344299316406,7.214428857715431,LOW
1998-10,54.40364837646485,4.408817635270541,LOW
1998-11,67.96592712402344,11.022044088176353,LOW
1998-12,75.95989227294922,18.837675350701403,LOW
1999-01,63.98722457885742,8.016032064128257,LOW
1999-02,58.316383361816406,5.61122244488978,LOW
1999-03,83.39727783203125,31.86372745490982,LOW
1999-04,106.19801330566406,68.33667334669339,MODERATE
1999-05,85.44113159179688,36.07214428857716,LOW
1999-06,79.4105453491211,23.647294589178358,LOW
1999-07,62.14287185668945,7.014028056112225,LOW
1999-08,62.858642578125,7.615230460921844,LOW
